cas	vrednost
01.09.2014 00:00:00	256.4
01.09.2014 01:00:00	261.2
01.09.2014 02:00:00	195.3
01.09.2014 03:00:00	193.5
01.09.2014 04:00:00	212.8
01.09.2014 05:00:00	208.2
01.09.2014 06:00:00	215.5
01.09.2014 07:00:00	205.5
01.09.2014 08:00:00	218.5
01.09.2014 09:00:00	218.8
01.09.2014 10:00:00	236.2
01.09.2014 11:00:00	247.1
01.09.2014 12:00:00	254.1
01.09.2014 13:00:00	244.4
01.09.2014 14:00:00	246.6
01.09.2014 15:00:00	254
01.09.2014 16:00:00	235.6
01.09.2014 17:00:00	217.7
01.09.2014 18:00:00	204.7
01.09.2014 19:00:00	217.3
01.09.2014 20:00:00	229.1
01.09.2014 21:00:00	243.9
01.09.2014 22:00:00	247
01.09.2014 23:00:00	239.9
02.09.2014 00:00:00	234.8
02.09.2014 01:00:00	235.1
02.09.2014 02:00:00	245.2
02.09.2014 03:00:00	232.8
02.09.2014 04:00:00	229.2
02.09.2014 05:00:00	235.5
02.09.2014 06:00:00	231.1
02.09.2014 07:00:00	231.4
02.09.2014 08:00:00	222.5
02.09.2014 09:00:00	224.8
02.09.2014 10:00:00	224
02.09.2014 11:00:00	235.2
02.09.2014 12:00:00	243.7
02.09.2014 13:00:00	248.3
02.09.2014 14:00:00	245.8
02.09.2014 15:00:00	240.7
02.09.2014 16:00:00	239.3
02.09.2014 17:00:00	237
02.09.2014 18:00:00	236.7
02.09.2014 19:00:00	233
02.09.2014 20:00:00	223.6
02.09.2014 21:00:00	218.1
02.09.2014 22:00:00	216.1
02.09.2014 23:00:00	213
03.09.2014 00:00:00	211.1
03.09.2014 01:00:00	211.3
03.09.2014 02:00:00	214.8
03.09.2014 03:00:00	221.5
03.09.2014 04:00:00	230.9
03.09.2014 05:00:00	236.9
03.09.2014 06:00:00	238
03.09.2014 07:00:00	235.9
03.09.2014 08:00:00	233.5
03.09.2014 09:00:00	235.4
03.09.2014 10:00:00	235.1
03.09.2014 11:00:00	231.7
03.09.2014 12:00:00	237.7
03.09.2014 13:00:00	244.1
03.09.2014 14:00:00	251
03.09.2014 15:00:00	259.5
03.09.2014 16:00:00	264.3
03.09.2014 17:00:00	263.9
03.09.2014 18:00:00	255.3
03.09.2014 19:00:00	247.4
03.09.2014 20:00:00	236.3
03.09.2014 21:00:00	224
03.09.2014 22:00:00	210.5
03.09.2014 23:00:00	199.1
04.09.2014 00:00:00	194.9
04.09.2014 01:00:00	198
04.09.2014 02:00:00	207
04.09.2014 03:00:00	222.8
04.09.2014 04:00:00	233.1
04.09.2014 05:00:00	240.7
04.09.2014 06:00:00	248.4
04.09.2014 07:00:00	251
04.09.2014 08:00:00	248.5
04.09.2014 09:00:00	242
04.09.2014 10:00:00	236.3
04.09.2014 11:00:00	233.2
04.09.2014 12:00:00	233.9
04.09.2014 13:00:00	237
04.09.2014 14:00:00	245.8
04.09.2014 15:00:00	255.2
04.09.2014 16:00:00	260.9
04.09.2014 17:00:00	267.1
04.09.2014 18:00:00	264.5
04.09.2014 19:00:00	256.2
04.09.2014 20:00:00	240.2
04.09.2014 21:00:00	228
04.09.2014 22:00:00	213.2
04.09.2014 23:00:00	200.8
05.09.2014 00:00:00	192.3
05.09.2014 01:00:00	190
05.09.2014 02:00:00	195.9
05.09.2014 03:00:00	204.7
05.09.2014 04:00:00	224.1
05.09.2014 05:00:00	240
05.09.2014 06:00:00	253
05.09.2014 07:00:00	258.9
05.09.2014 08:00:00	259.5
05.09.2014 09:00:00	256.4
05.09.2014 10:00:00	246.5
05.09.2014 11:00:00	235.9
05.09.2014 12:00:00	229.3
05.09.2014 13:00:00	228
05.09.2014 14:00:00	231
05.09.2014 15:00:00	239.8
05.09.2014 16:00:00	252.8
05.09.2014 17:00:00	262.5
05.09.2014 18:00:00	267.5
05.09.2014 19:00:00	267.3
05.09.2014 20:00:00	259.6
05.09.2014 21:00:00	246.8
05.09.2014 22:00:00	229
05.09.2014 23:00:00	209.1
06.09.2014 00:00:00	193.6
06.09.2014 01:00:00	185.6
06.09.2014 02:00:00	188.3
06.09.2014 03:00:00	196.8
06.09.2014 04:00:00	213.5
06.09.2014 05:00:00	234.3
06.09.2014 06:00:00	254.1
06.09.2014 07:00:00	269
06.09.2014 08:00:00	276.6
06.09.2014 09:00:00	272.1
06.09.2014 10:00:00	258.7
06.09.2014 11:00:00	242.1
06.09.2014 12:00:00	225.9
06.09.2014 13:00:00	213
06.09.2014 14:00:00	207.6
06.09.2014 15:00:00	213.3
06.09.2014 16:00:00	229.8
06.09.2014 17:00:00	246.6
06.09.2014 18:00:00	261.6
06.09.2014 19:00:00	270.8
06.09.2014 20:00:00	270.7
06.09.2014 21:00:00	259.8
06.09.2014 22:00:00	243.1
06.09.2014 23:00:00	219.4
07.09.2014 00:00:00	195.9
07.09.2014 01:00:00	181.2
07.09.2014 02:00:00	173.3
07.09.2014 03:00:00	179.6
07.09.2014 04:00:00	196.5
07.09.2014 05:00:00	220.2
07.09.2014 06:00:00	248.1
07.09.2014 07:00:00	268
07.09.2014 08:00:00	281.9
07.09.2014 09:00:00	282.8
07.09.2014 10:00:00	271.1
07.09.2014 11:00:00	252.9
07.09.2014 12:00:00	232.1
07.09.2014 13:00:00	211.2
07.09.2014 14:00:00	199.7
07.09.2014 15:00:00	197.5
07.09.2014 16:00:00	209
07.09.2014 17:00:00	230.4
07.09.2014 18:00:00	252.8
07.09.2014 19:00:00	271.3
07.09.2014 20:00:00	280.7
07.09.2014 21:00:00	277.6
07.09.2014 22:00:00	261.9
07.09.2014 23:00:00	237.1
08.09.2014 00:00:00	210.2
08.09.2014 01:00:00	188.2
08.09.2014 02:00:00	173.3
08.09.2014 03:00:00	170.3
08.09.2014 04:00:00	183.1
08.09.2014 05:00:00	208.3
08.09.2014 06:00:00	235.5
