if. postaje;Tip podatka;Èas;Vrednost;Ekstrem;Std. opomba;Opomba;Preneseno;Ime upor.;Èas sprem.
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);03.09.2014 11:45:00;236;;;;0;KM-ORA_LOAD;04.09.2014 06:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);08.09.2014 07:50:00;276;;;;0;KM-ORA_LOAD;08.09.2014 08:32:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);18.09.2014 09:30:00;238;;;;0;KM-ORA_LOAD;10.10.2014 09:12:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);22.09.2014 08:35:00;282;;;;0;KM-ORA_LOAD;10.10.2014 09:12:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);10.10.2014 08:40:00;270;;;;0;KM-ORA_LOAD;10.10.2014 09:12:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);20.10.2014 11:15:00;226;;;;0;KM-ORA_LOAD;18.11.2014 14:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);03.11.2014 08:35:00;258;;;;0;KM-ORA_LOAD;18.11.2014 14:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);05.11.2014 08:00:00;305;;;;0;KM-ROBIC;12.11.2014 10:14:14
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);10.11.2014 10:25:00;297;;;;0;KM-ORA_LOAD;18.11.2014 14:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);18.11.2014 07:45:00;284;;;;0;KM-ORA_LOAD;18.11.2014 14:12:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);25.11.2014 07:35:00;244;;;;0;KM-ORA_LOAD;29.12.2014 14:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);05.12.2014 08:45:00;297;;;;0;KM-ORA_LOAD;29.12.2014 14:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);08.12.2014 09:55:00;282;;;;0;KM-ORA_LOAD;29.12.2014 14:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);15.12.2014 08:50:00;221;;;;0;KM-ORA_LOAD;29.12.2014 14:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);29.12.2014 14:00:00;213;;;;0;KM-ORA_LOAD;29.12.2014 14:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);05.01.2015 09:10:00;242;;;;0;KM-ORA_LOAD;05.01.2015 16:42:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);12.01.2015 11:50:00;216;;;;0;KM-ORA_LOAD;15.01.2015 07:22:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);20.01.2015 09:50:00;274;;;;0;KM-ORA_LOAD;20.01.2015 11:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);26.01.2015 09:50:00;214;;;;0;KM-ORA_LOAD;26.01.2015 11:32:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);02.02.2015 08:25:00;311;;;;0;KM-ORA_LOAD;03.02.2015 11:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);09.02.2015 08:35:00;212;;;;0;KM-ORA_LOAD;10.02.2015 09:32:02
